node_index,extra_gap_mape,extra_gap_rmse,extra_gap_rmse_percent,intra_gap_mape,intra_gap_rmse,intra_gap_rmse_percent
0,11.003597,1.0958776,25.460684,66.6733,4.4984884,46.21897
1,2.4922638,0.082837105,1.9245665,2.5655308,0.23620093,28.453848
2,1.7299728,0.06293821,1.4622527,-1.0342407,-0.022130162,-7.7621794
3,22.767227,2.2846522,53.07966,36.121876,8.976216,68.21683
4,0.5600624,0.013580799,0.3155247,-2.9878578,-0.03336975,-28.22903
5,2.2307205,0.04425764,1.0282443,7.0860443,0.036719322,3.1165106
6,0.14599991,0.0051732063,0.12018985,-0.4371674,-0.005925553,-31.198465
7,1.1285515,0.025028706,0.5814956,-0.15101242,7.645413e-05,0.17413624
8,1.4652863,0.06926823,1.6093189,7.3664093,0.08216262,2.8572884
9,6.680378,0.4045987,9.400101,39.28169,1.3565557,148.93893
10,18.485542,1.9029417,44.211323,44.527233,5.5232334,53.00448
11,1.4412498,0.02660513,0.61812085,-0.4145174,-0.0033854693,-2.6875806
12,19.194832,2.0395885,47.386055,72.99963,6.660364,78.61339
13,1.3190308,0.020705223,0.48104748,7.431423,0.078987,5.9657483
14,16.169647,1.4627852,33.985104,22.561323,2.5070705,26.922337
15,8.369862,0.8388405,19.488903,19.887398,-0.030211449,-0.3628393
16,1.1919327,0.015755653,0.3660534,0.19829178,-0.082325935,-6.4437604
17,2.3472176,0.11502695,2.672438,16.30851,0.019974232,0.80527437
18,9.849285,0.86986065,20.2096,8.850792,0.2563901,5.1013017
19,4.1898155,0.3753047,8.719509,1.501728,0.05420494,1.1080436
20,1.857914,0.020552158,0.47749126,12.220665,-0.017898798,-0.6936344
21,2.0845642,0.048615932,1.129501,-0.26466274,-0.0047994927,-9.020277
22,0.39987183,0.005628586,0.13076974,11.658043,-0.028422594,-1.4109291
23,2.849865,0.045330524,1.0531707,4.8949738,0.0031905174,0.15334691
24,2.4404716,0.05827427,1.3538946,11.038887,0.08336949,3.4080472
25,2.619995,0.061407566,1.4266909,5.2700615,0.00417912,0.29675022
26,15.34116,1.5544,36.1136,37.634277,2.741022,45.709114
27,2.6880455,0.03490305,0.81090766,-1.0437741,-0.0051384866,-2.420044
28,0.7421646,0.017064571,0.3964637,0.55480766,0.0036571026,0.61359817
29,15.012894,1.3093123,30.419445,57.790916,12.578545,76.967186
30,2.464653,0.17573309,4.0828323,6.2737656,-0.17810059,-6.5699534
31,16.979797,1.85323,43.056362,65.89537,9.72091,95.75779
32,1.9187126,0.012913227,0.30001488,1.5466042,0.00818634,0.60245764
33,2.8202019,0.0638957,1.4844981,6.3330536,0.030771613,2.2786493
34,1.442131,0.028957367,0.67277074,0.49716187,-0.0070644617,-0.45904234
35,20.244324,1.9723816,45.82463,74.442,10.571654,70.7843
36,1.456234,-0.00780344,-0.18129846,6.1653786,-0.04970622,-1.7239445
37,2.470211,0.040898323,0.9501967,11.57518,0.035586596,1.021342
38,16.783878,1.8459468,42.88715,54.39394,4.3684635,51.1604
39,5.102829,0.6623292,15.387991,10.248688,0.5935383,8.902324
40,2.6743317,0.09774876,2.271011,20.938576,0.21961617,9.25068
41,1.1937256,0.024014473,0.5579317,4.592987,0.029336095,1.827983
42,18.786331,2.0428634,47.462143,38.369762,5.5825434,56.829506
43,2.925251,0.12458897,2.8945935,2.9849243,0.026846528,2.1439228
44,1.1653938,0.015936852,0.3702632,1.6552429,-0.009806037,-0.9819329
45,14.041801,1.6353068,37.993324,49.638107,2.7779489,37.2419
46,14.832691,1.6750932,38.917686,35.371727,2.0837302,26.373169
47,2.5075188,0.050905704,1.1826997,-1.4709187,-0.015334398,-3.2633185
48,2.1140594,0.051315784,1.1922271,3.0902443,0.021789432,1.4806128
49,18.788803,1.9156108,44.505665,64.48427,6.01781,63.42786
50,14.127121,1.558496,36.208763,42.471146,3.2154179,37.72043
51,1.3737984,0.020962238,0.48701876,4.21603,0.015627146,0.6833993
52,6.85701,0.8590212,19.957764,0.62283325,0.47542,9.02094
53,0.8217087,0.008721352,0.20262443,0.36384392,-0.0036979616,-1.8272992
54,3.277813,0.18285847,4.2483773,3.004778,0.038820148,4.3468137
55,2.2494278,0.02718687,0.6316365,4.099678,0.04199314,1.3358533
56,1.1900864,0.024617195,0.5719349,1.1488686,3.749132e-05,0.004029179
57,9.0258255,0.86405706,20.074764,29.8605,1.0298901,28.665184
58,0.7436447,0.031297684,0.72714365,3.056446,0.039627194,2.4544804
59,2.0365257,0.038472176,0.89382964,15.859688,-0.06113696,-2.2942362
60,2.3771782,0.04503727,1.0463575,23.694649,-0.116772175,-3.5689025
61,1.0772476,0.03203535,0.744282,4.609791,0.022697687,2.0914137
62,3.4263687,0.038232327,0.8882572,20.940323,0.20191336,6.026396
63,2.218502,0.1181612,2.7452564,2.1766891,-0.10940981,-5.2033143
64,7.899292,0.5216875,12.120442,49.08357,3.6327791,130.95259
65,18.881012,2.1620526,50.231285,57.78964,8.438835,80.41201
66,12.564251,1.365582,31.726765,20.490662,0.2587428,3.984781
67,5.0074196,0.19555187,4.543285,12.667702,0.036720037,1.0034432
68,1.8370895,0.083218575,1.9334292,5.189682,0.023164988,1.1851931
69,1.4962578,0.011973381,0.2781793,-0.15565157,-0.0018202644,-9.498952
70,6.668644,0.5088525,11.822244,16.00386,0.5227909,7.736086
71,1.8759689,0.04772854,1.1088841,3.0569096,0.012740135,0.4921391
72,1.0482063,0.03430891,0.7971039,2.697029,0.020978212,0.7446061
73,18.876106,1.9595923,45.527493,38.41543,6.0038958,58.385242
74,2.5702019,0.059817314,1.3897444,5.340683,-0.058907628,-3.0582602
75,1.5801239,0.03956318,0.9191771,4.3132973,0.008864522,0.87525725
76,10.380672,1.3648257,31.709194,56.7761,2.886191,36.250504
77,1.3464355,0.022132397,0.5142052,-0.06811762,-0.0016876422,-4.5425644
78,10.5527725,1.3233371,30.745283,27.48362,0.33239412,6.8289676
79,3.2028008,0.043534756,1.0114493,10.442093,-0.03842163,-1.5592675
80,1.3354645,0.026202202,0.6087596,-0.44217682,-0.011338949,-0.55850303
81,1.12146,0.015267849,0.35472018,3.4733582,-0.059426308,-1.6959479
82,1.570694,0.043736458,1.0161355,5.3041496,0.032301903,1.12227
83,20.97261,2.2534323,52.354324,38.403423,17.440609,91.64037
84,2.5700417,0.03914213,0.90939486,5.4375305,-0.050713062,-1.6824225
85,2.473198,0.04310131,1.0013791,6.8555603,0.015357971,0.6989511
86,2.0996475,0.058425426,1.3574065,1.5717793,-0.024704933,-2.387599
87,14.511696,1.546721,35.935192,212.53322,8.800377,92.84744
88,1.7910881,0.059410572,1.3802944,3.1060143,-0.0035336018,-0.17171028
89,2.8290024,0.039078236,0.90791035,1.376648,0.0102084875,0.9340534
90,21.607704,2.2831063,53.04374,40.120598,17.23735,83.73688
91,0.4193802,0.0074572563,0.17325552,-2.2751122,-0.014612973,-2.1803086
92,2.0452843,0.04416752,1.0261503,9.721405,-0.027467728,-0.90485585
93,3.9479523,0.17197275,3.9954681,15.7865925,0.25717902,40.02583
94,1.1794434,0.019899845,0.462336,-0.41754532,-0.027362943,-2.0961297
95,12.006012,1.2274776,28.518164,114.587685,4.2007375,89.4025
96,5.535637,0.39699697,9.223489,7.3280144,0.12751389,2.4723773
97,2.3906708,0.06524944,1.5159498,44.956703,0.39267302,14.067314
98,1.6738243,0.05601597,1.3014271,5.666027,0.0339725,2.3729205
99,16.601273,1.9738317,45.85832,78.49413,3.9342823,46.387173
100,2.1852303,0.09609556,2.2326021,10.676765,0.030712366,0.8698684
101,20.014694,2.0881143,48.513462,72.45916,16.054525,83.05446
102,5.594227,0.45369768,10.540824,-4.219921,-0.005716324,-0.122323014
103,15.324291,1.6762695,38.945015,65.38232,1.5304928,24.061707
104,1.6237068,0.030592918,0.7107698,0.40358734,0.014818907,0.5626444
105,1.6806831,0.038269043,0.88911027,2.8739777,-0.014088273,-0.7008766
106,1.9921379,0.02770567,0.6436899,4.6450806,0.02378428,1.2720579
107,1.4905891,0.064058304,1.4882759,1.857357,-0.014926791,-1.087546
108,2.0814095,0.10276985,2.387667,5.342037,-0.007576704,-0.38360322
109,1.2553978,0.023773193,0.5523261,-3.0855827,-0.21019053,-15.606771
110,0.054840088,-0.002126217,-0.049398705,-0.55833435,-0.0070494004,-10.655187
111,16.00085,1.7031965,39.570614,44.00779,5.5648746,70.11977
112,6.8856697,0.59048605,13.718848,61.84925,1.5136209,25.072762
113,2.173935,0.080616474,1.8729743,3.022273,0.12446982,27.386385
114,6.7094,0.47153854,10.955324,30.16735,-0.09448767,-1.8530117
115,0.50535965,0.003305912,0.07680674,-3.97752,-0.028233051,-2.0888653
116,0.6380997,0.0152897835,0.35522977,-3.7559266,-0.040041447,-16.476831
117,9.850559,0.8313904,19.315813,34.379597,30.317059,68.9737
118,2.4507713,0.08659363,2.0118425,8.042419,-0.047981262,-1.2103901
119,1.2242851,0.018969536,0.44072202,0.0132107735,0.0005012825,0.9548979
120,0.98984146,0.004867077,0.11307751,1.8430481,0.020874858,2.2246509
121,2.4172745,0.05299902,1.231334,-0.49020576,-0.027039945,-4.38542
122,16.554806,1.7654004,41.01581,69.100716,5.058606,58.393753
123,6.788616,0.48022938,11.157239,17.900742,0.4567992,56.506695
124,1.9745636,0.034519672,0.80200064,2.0304642,-0.12867856,-4.8747635
125,0.7119255,0.007443905,0.17294534,2.285862,-0.025339723,-1.7254844
126,21.312798,2.1313848,49.518776,93.331154,44.497894,163.40836
127,2.6386757,0.08747721,2.0323706,-0.08779526,-0.0053379536,-0.21983276
128,1.6882973,0.023588657,0.5480387,-1.8780098,-0.01467216,-6.612987
129,0.64333725,0.0029029846,0.067445464,3.26688,-0.043773174,-2.003271
130,1.1920738,0.035499096,0.8247557,0.14823914,-0.009287119,-0.3864643
131,11.827709,1.3680673,31.784508,24.667133,0.45752668,10.777452
132,25.64003,2.4380155,56.64277,40.915718,9.009191,75.16427
133,0.00031661987,2.861023e-06,6.6470566e-05,4.7683716e-07,-1.3504177e-08,-0.0003192768
134,1.1421013,0.020296097,0.47154218,-1.2925835,-0.018811911,-9.533273
135,2.5040855,0.07615471,1.7693135,8.862335,0.01623869,1.0783093
136,8.594868,0.679399,15.784576,13.421761,0.3065765,8.583658
137,1.9580727,0.05802679,1.3481449,-1.8359375,-0.022101656,-10.55455
138,9.438225,1.2510786,29.06649,17.258247,0.22473812,4.5140977
139,20.55848,2.1503177,49.958645,47.72077,13.482302,87.72342
140,2.2380981,0.03464079,0.8048145,4.511387,0.04211104,3.4121203
141,2.2893066,0.042970657,0.9983435,12.034172,0.059365273,2.3833437
142,1.0465164,-0.0055212975,-0.12827711,-0.31644607,-0.0023750365,-1.0414627
143,1.1554756,-0.0005559921,-0.012917446,0.54345226,-0.008485779,-5.600445
144,2.9636726,0.114057064,2.6499045,-0.39756203,-0.024744272,-5.4924583
145,17.619476,1.851686,43.02049,69.67193,3.2881708,39.86875
146,1.5816078,0.02610159,0.606422,3.5006294,0.09769297,5.101676
147,3.041031,0.07158947,1.6632487,10.73703,0.04869795,2.0300486
148,6.0673256,0.75701,17.587723,2.4058342,0.10329962,2.348333
149,1.41996,0.022960663,0.53344846,1.8869572,-0.017775893,-1.3036914
150,21.061134,2.0777931,48.27367,63.52136,14.806833,88.94592
151,0.70448685,0.013148308,0.30547655,-0.079051495,-0.0040889755,-5.285405
152,1.4105225,0.0058016777,0.13479123,1.5141888,-0.0023635626,-0.297104
153,21.189651,2.0367842,47.320904,102.84989,16.683502,84.06151
154,2.1216621,0.020989895,0.48766127,7.5739174,-0.0013277531,-0.047793545
155,2.4994469,0.09067154,2.1065853,10.549696,0.32144523,49.81912
156,1.040741,0.035416603,0.82283914,1.6843491,0.0033049583,0.1374402
157,0.93748856,-0.0013895035,-0.032282535,-0.40141773,-0.004687071,-1.1413774
158,2.5790634,0.044777393,1.0403197,30.857468,-0.12241483,-8.46482
159,5.4788094,0.44293547,10.290785,14.450577,0.15595555,3.9165306
160,0.9576874,0.015883923,0.3690335,-0.6069727,-0.003401652,-1.45266
161,3.4385223,0.20250654,4.704864,8.787102,0.018632412,0.4783242
162,1.3823738,0.014258385,0.33126712,1.5308342,0.004654467,0.6618401
163,1.9447975,0.060543537,1.4066168,-0.062604904,-0.0028582588,-3.577064
164,3.219345,0.12747622,2.9616735,13.117958,0.054847002,2.224737
165,1.6476364,0.043000698,0.99904144,1.2865906,-0.011028171,-1.0896399
166,1.746418,0.023468018,0.5452359,5.2450943,0.016873837,0.6436835
167,6.5579033,0.5368848,12.473523,25.430882,-0.052470207,-1.4664558
168,2.74926,0.07104635,1.6506304,18.958359,0.22364426,7.9651513
169,0.7141762,0.0105109215,0.24420176,3.0437603,0.017570972,2.5575097
170,2.11977,0.0293684,0.68232036,8.856457,0.008383036,0.5482285
171,1.2385788,0.016139507,0.37497154,-0.19252396,-0.013482213,-0.6957187
172,1.886425,0.16048193,3.7285,15.66584,0.17373466,2.8211215
173,2.9887276,0.32478333,7.5457387,0.27482414,-1.3645401,-5.073932
174,2.7538223,0.2929077,6.805167,9.029896,-0.0018205643,-0.098629236
175,2.2460213,0.11181688,2.597858,2.6375103,0.113325685,30.166065
176,2.2604866,0.047378063,1.1007414,-0.7296791,-0.020013154,-7.50072
177,0.2829399,0.00041484833,0.009638232,-0.032369256,-0.0012546703,-2.918846
178,13.138447,1.4929953,34.686977,41.431118,4.4646773,62.430466
179,2.6692696,0.14809847,3.4407933,7.7203255,0.031279087,1.2604442
180,1.1048698,0.11025095,2.5614765,-0.31471348,-0.0049362183,-0.8605088
181,1.3930092,0.014198303,0.32987124,-3.016057,-0.03424357,-16.918287
182,14.588295,1.5324202,35.602943,76.22717,3.4895186,54.317677
183,10.6577835,0.58348894,13.556284,29.603706,1.0196738,21.440197
184,1.0437889,0.033638477,0.78152764,1.4054337,0.008136988,0.5237642
185,1.2434692,0.047427177,1.1018826,7.6358795,0.002409935,0.093688
186,15.298157,1.3526082,31.425344,25.91417,3.5513458,33.966522
187,4.4098244,0.3455453,8.028104,-3.4067764,0.47026205,7.299722
188,12.3424225,0.8981919,20.867825,42.55769,9.139332,33.894283
189,10.163059,0.752131,17.47437,47.29088,1.2323117,21.007277
190,2.5790634,0.044777393,1.0403197,21.921768,-0.0124543905,-1.1025481
191,0.7280426,0.008216381,0.19089238,1.6965199,0.0056224316,4.7156725
192,1.5925903,0.02023077,0.47002444,2.275341,0.0024181604,0.12874846
193,3.0277596,0.097388744,2.262647,-0.5298195,-0.01540637,-0.43770355
194,14.844139,1.5786052,36.675964,37.420662,1.1829519,26.538515
195,1.8382835,0.041571617,0.96583945,21.494526,0.09458923,4.2419252
196,1.0070763,0.018959045,0.44047827,0.7860136,-0.0066375136,-2.609223
197,1.5587158,0.026899338,0.62495625,0.32016754,0.003899157,0.41441023
198,3.672699,0.11290312,2.6230946,8.279602,-0.0100739,-0.26295108
199,5.1505737,0.46614552,10.830027,0.84467316,-0.59561014,-8.848561
200,3.2996635,0.08764076,2.0361707,-0.70935345,-0.005996458,-4.6897283
201,9.141968,0.7237444,16.81486,28.816216,0.32150793,7.9269195
202,0.47549057,0.0018825531,0.04373763,0.05447769,-0.0017905235,-0.1965897
203,1.4459877,0.048409462,1.1247041,4.0855637,0.023758411,1.2362847
204,0.39987183,0.005628586,0.13076974,2.1300106,-0.037849724,-6.43631
205,2.3799477,0.04179144,0.9709466,3.7139702,0.007078409,0.30783686
206,9.234032,0.64380646,14.95765,42.834232,0.691442,11.102388
207,2.4095078,0.066209316,1.5382507,6.0570602,0.043209314,1.7397832
208,1.1811333,0.02584982,0.60057265,5.328499,-0.01646471,-0.50042135
209,6.758278,0.49815655,11.573744,50.579582,1.0660696,21.447294
210,3.0541306,0.046752453,1.0862066,10.494919,0.021650553,0.64966863
211,11.214993,1.1629763,27.019596,42.54398,1.1564481,33.783142
212,1.9786224,0.064585686,1.5005287,4.693718,-0.09107733,-3.830944
213,0.6326523,-0.0003299713,-0.007666272,1.0362091,0.0137934685,0.48400843
214,16.568878,1.7142577,39.8276,99.39308,19.263393,105.096725
215,19.121246,1.9623036,45.59049,32.53706,7.381857,59.733932
216,10.602661,1.1382899,26.446056,6.524437,0.2497201,4.3806505
217,12.572876,1.2993398,30.18775,40.337906,1.8814297,34.123257
218,17.334126,1.8567042,43.13708,49.94848,5.5711384,63.449318
219,1.946888,0.032190323,0.7478825,11.531975,-0.024267912,-0.96803457
220,19.511871,2.1943574,50.981827,37.915165,4.229105,39.301838
221,2.618412,0.062363625,1.4489032,11.0731125,-0.1014266,-4.5558553
222,22.477478,2.1062822,48.935562,32.118046,4.3019924,40.666885
223,2.3035774,0.047028065,1.0926099,3.8054428,-0.016894221,-0.91475564
